87376682	2
2305.05	790.44
2295.45	788.83
87376695	3
2289.38	787.83
2225.69	777.57
2159.74	766.84
87376660#0	2
2143.85	764.26
2118.10	760.07
87376660#1	2
2111.95	759.06
2059.00	750.21
87376660#2	2
2053.00	749.15
2015.01	741.97
26938247	2
1996.84	740.82
1939.21	725.57
133376103	2
1930.67	722.83
1919.41	719.30
8921175	3
1918.75	719.14
1873.79	711.63
1341.41	622.56
26938401	2
1341.40	622.56
1195.41	599.30
87297169	2
1195.41	599.30
1145.33	591.69
85644934	5
1135.56	590.48
1065.26	583.62
1046.95	580.67
1008.83	574.54
1008.41	574.38
27050852	4
989.59	575.20
957.32	569.81
914.74	562.71
862.83	554.05
